ENGLISH,SPANISH,JAPANESE,INDONESIAN,KOREAN,POS
center,centro,中心,tengah,중심,NOUN
to be important,importante,重要だ,penting ,중요하다,ADJ
junior high school,secundaria,中学校,Sekolah Menengah Pertama (SMP),중학교,NOUN
junior high school student,estudiante secundario,中学生,siswa SMP,중학생,NOUN
to be pleasant/to be happy,divertido/feliz,楽しい,bersenang-senag/bergembira,즐겁다,ADJ
to enjoy,disfrutar,楽しむ/好む,menikmati,즐기다,VERB
wallet,carpeta/billetera,財布,dompet,지갑,NOUN
now,ahora,今,sekarang,지금,NOUN/ADV
to pass (by) ,pasar,通り過ぎる/通過する,melewati,지나가다,VERB
to pass/to go by,pasar/fluir,通り過ぎる/経つ,melalui,지나다,VERB
to be excessive,demasiado/abundante,度が過ぎる,berlebihan,지나치다,ADJ
last month,mes pasado,先月,bulan lalu,지난달,NOUN
last week,semana pasada,先週,minggu lalu,지난주,NOUN
last year,año pasado,去年,tahun lalu,지난해,NOUN
to spend one's time,pasar,過ごす/暮らす ,menghabiskan waktu seseorang,지내다,VERB
map,mapa,地図,peta,지도,NOUN
eraser,borrador,消しゴム,penghapus,지우개,NOUN
to delete/to remove,borrar,消す,membersihkan,지우다,VERB
to keep/to protect,cumplir/protejer,守る,menepati/menjaga/melindungi,지키다,VERB
underground/basement,sótano/subsuelo,地下,bawah tanah/landasan,지하,NOUN
subway,subterráneo,地下鉄,kereta bawah tanah,지하철,NOUN
in person/directly,directamente/personalmetne,直接,langsung,직접,NOUN/ADV
question | to ask,pregunta; preguntar,質問 | 質問する,pertanyaan; bertanya,질문 | 질문하다,NOUN | VERB
home/house,casa,家,rumah,집,NOUN
to be salty,salado,塩辛い,asin,짜다,ADJ
to be short,corto,短い,pendek,짧다,ADJ
side/direction/way,dirección,方/側,sebelah/arah,쪽,NOUN
stew,guisado/sopa,チゲ,rebusan/masakan hospot,찌개,NOUN
to stamp/to imprint,estampar/sellar,押す/(写真を)とる,menyetempel/mencap,찍다,VERB
tea,té,茶,teh,차 ,NOUN
car,coche/automóvil,車,mobil,차 ,NOUN
order; turn,orden/turno,順番/番,urutan; giliran,차례,NOUN
really/truly,realmente/honestametne,まったく/ほんとうに,benar-benar/sungguh-sungguh,참,ADV
to stand/to endure,no aguantar/no permitir,我慢する/堪える,menahan/bertahan,참다,VERB
window,ventana,窓,jendela,창문,NOUN
to find; to look for/to search,encontrar,探す; 見つける,menemukan; mencari,찾다,VERB
to look for/to search,buscar,探してみる,mencari,찾아보다,VERB
vegetable,vegetal,野菜,sayuran,채소,NOUN
book,libro,本,buku,책,NOUN
desk,escritorio,机,meja,책상,NOUN
duty/responsibility,responsabilidad,責任,tugas/kewajiban,책임,NOUN
beginning; first,comienzo/primer,初め (て),permulaan; pertama,처음,NOUN/ADV
slowly,despacio/lento,ゆっくり,perlahan-lahan,천천히,ADV
jeans,pantalones vaqueros,ジーパン,celana jeans,청바지,NOUN
cleaning | to clean,limpiar/ordenar,掃除 | 掃除する,pembersihan; membersihkan,청소 | 청소하다,NOUN | VERB
second,segundo,秒,kedua,초,NOUN
invitation | to invite,invitación; invitar,招待 | 招待する,undangan; mengundang,초대 | 초대하다,NOUN | VERB
elementary school,escuela primaria,小学校, Sekolah dasar (SD),초등학교,NOUN
chocolate,chocolate,チョコレート,coklat,초콜릿,NOUN
best/top,el mejor,最高,terbaik,최고,NOUN
soccer,fútbol,サッカー,sepak bola,축구,NOUN
to celebrate,felicitar/celebrar,祝う,merayakan,축하하다,VERB
to leave/to depart,salir/ir ,出発する,berangkat,출발하다,VERB
dance | to dance,baile; bailar,踊り | 踊る,dansa; berdansa,춤 | 추다,NOUN | VERB
to be cold/to be chilly,frío/helado,寒い,dingin,춥다,ADJ
hobby,manía/pasatiempos,趣味,hobi/kegemaran,취미,NOUN
to be drunk,borracho,酔う,mabuk,취하다,VERB
story/floor,piso,階,tingkat/lantai,층,NOUN
to hit,golpear,打つ/叩く,memukul,치다,VERB
skirt,falda,スカート,rok,치마,NOUN
toothpaste,crema dental ,歯磨き粉,pasta gigi,치약,NOUN
friend,amigos,友達,teman,친구,NOUN
to be kind/to be friendly,amistoso/generoso,親切だ,baik/ramah,친절하다,ADJ
blackboard,tablero/pizarra,黒板,papan tulis,칠판,NOUN
bed,cama,ベッド,tempat tidur,침대,NOUN
toothbrush,cepillo dental,歯ブラシ,sikat gigi,칫솔,NOUN
praise/compliment | to praise,elogio; elogiar,賞賛 | 褒める,pujian,칭찬 | 칭찬하다,NOUN | VERB
card,tarjeta/carta,カード,kartu,카드,NOUN
camera,cámara fotográfica (digital),カメラ,kamera,카메라,NOUN
knife,cuchillo,刀/包丁,pisau,칼,NOUN
Canada,Canadá,カナダ,Kanada,캐나다,NOUN
to be big/to be large,enorme/grande,大きい,besar,커다랗다,ADJ
coffee,café ,コーヒー,kopi,커피,NOUN
computer,computadora,コンピューター,komputer,컴퓨터,NOUN
cup,vaso/taza,コップ,cangkir,컵,NOUN
to turn on,prender/encender,つける,menyalakan,켜다,VERB
nose,nariz,鼻,hidung,코,NOUN
cola,cola,コーラ,kola,콜라,NOUN
size,tamaño,大きさ,ukuran,크기,NOUN
to be big; to grow,grande; crecer,成長する; 大きい,menjadi besar;tumbuh,크다,ADJ/VERB
Christmas,Navidad,クリスマス,natal,크리스마스,NOUN
height,estatura,背,tinggi badan,키,NOUN
to raise/to bring up/to grow,criar,育てる/飼う,membesarkan/memelihara,키우다,VERB
to take/to ride,tomar/coger/agarrar,乗る,naik/menegendarai,타다,VERB
Taekwondo (Korean traditional martial art),Taekwondo,テコンドー,Taekwondo (seni bela-diri tradisional Korea),태권도,NOUN
attitude,actitud/carácter,態度,sikap,태도,NOUN
to be born,nacer,生まれる,lahir,태어나다,VERB
taxi,taxi,タクシー,taksi,택시,NOUN
tennis,tenis,テニス,tennis,테니스,NOUN
table,tabla/mesa,テーブル,meja,테이블,NOUN
television,televisión,テレビ,televisi,텔레비전,NOUN
characteristic/feature,característica,特徴,ciri khas,특징,NOUN
especially/particularly,especialidad/particularidad,特に,khususnya/terutama ,특히,ADV
team,equipo/grupo,チーム,tim,팀,NOUN
blue (color),azul,青色,biru (warna),파란색,NOUN
party,fiesta,パーティー,pesta,파티,NOUN
arm,brazo,腕,lengan,팔,NOUN
to sell,vender,売る,menjual,팔다,VERB
percent,porcentaje,パーセント,persen,퍼센트,NOUN
to unfold/to spread/to open,abrir/desplegar,開く/敷く/(傘を)差す,membuka,펴다,VERB
letter,carta,手紙,surat,편지,NOUN
grape,uva,ぶどう,anggur,포도,NOUN
ticket,boleto,切符,tiket,표,NOUN
expression/look/face,expresión/gesto,表情,ekspresi/paras/wajah ,표정,NOUN
expression | to express,expresión; expresar,表現 | 表現する,ungkapan; mengungkapkan,표현 | 표현하다,NOUN | VERB
to untie/to unfasten,desatar,解く; 外す,membuka,풀다,VERB
France,Francia,フランス,Perancis,프랑스,NOUN
program,programa,プログラム,program,프로그램,NOUN
to be tired,cansado,疲れる,lelah,피곤하다,ADJ
skin,piel,肌,kulit,피부,NOUN
piano,piano,ピアノ,piano,피아노,NOUN
to smoke,fumar,(タバコを)吸う,merokok,피우다,VERB
pizza,pizza,ピザ,pizza,피자,NOUN
need | to be necessary,necesidad; necesitar,必要 | 必要だ,memerlukan; penting,필요 | 필요하다,NOUN | ADJ
sky,cielo,空,langit,하늘,NOUN
to do,hacer,する,melakukan,하다,VERB
a day,día,一日,per hari,하루,NOUN
but/however,pero/a menos,しかし,tetapi/bagaimanapun,하지만,ADV
school,escuela ,学校,sekolah,학교,NOUN
year/grade,año/grado,年生,tahun,학년,NOUN
student,estudiante,学生,siswa/pelajar,학생,NOUN
Korea,Corea,韓国,Korea,한국,NOUN
Korean language,lenguaje coreano,韓国語,bahasa Korea,한국말,NOUN
Hangeul (Korean character),Hangeul (carácteres coreanos),ハングル,Hangeul (huruf Korea),한글,NOUN
on trial,un intento/una vez,一度/ちょっと,dalam percobaan,한번,ADV
hanbok (Korean traditional clothes),hanbog (ropa tradicional coreana),韓服,Hanbok (pakaian tradisional Korea),한복,NOUN
Chinese character,carácteres chinos,漢字,huruf Cina,한자,NOUN
grandmother,abuela/nona,お婆さん,nenek,할머니,NOUN
grandfather,abuelo/nono,お爺さん,kakek,할아버지,NOUN
together,juntos,一緒に,bersama- sama,함께,ADV
always,siempre,常に/いつも,selalu,항상,ADV
sun; year,sol; año,年; 日,matahari; tahun,해,NOUN
cellphone,teléfono celular/portátil,携帯電話,telepon selular,핸드폰,NOUN
hamburger,hamburguesa,ハンバーガー,hamburger,햄버거,NOUN
happiness | to be happy,felicidad; feliz,幸せ | 幸せだ,kebahagiaan; berbahagia ,행복 | 행복하다,NOUN | ADJ
waist,cintura,腰,pinggang,허리,NOUN
present; now,ahora/presente,現在,sekarang,현재,NOUN/ADV
boy's older brother,hermano mayor,兄さん,kakak laki-laki,형,NOUN
Australia,Australia,オーストラリア,Australia,호주,NOUN
hotel,hotel,ホテル,hotel,호텔,NOUN
alone,solo,ひとり (で),sendiri,혼자,NOUN/ADV
anger | to be angry,enojo; enojar,怒り | 怒る,kemarahan; marah,화 | 화나다,NOUN | ADV
bathroom/restroom,baño,トイレ,kamar mandi/kamar kecil,화장실,NOUN
to conform/to make sure,confirmar/asegurar,確認する,memastikan. meyakinkan,확인하다,VERB
patient,paciente,患者,pasien,환자,NOUN
company/corporation,compañía/corporación,会社,perusahaan,회사,NOUN
meeting/conference,reunión/conferencia,会議,rapat,회의,NOUN
after/later,tarde/después,後,nanti,후,NOUN
to be excellent/to be great,excelente/talentoso,立派だ,sangat bagus/hebat,훌륭하다,ADJ
much/far,más/mucho más,ずっと,lebih/jauh  ,훨씬,ADV
holiday/day off,vacaciones,休日/休み,hari libur,휴일,NOUN
wastepaper/litter; tissue,papel higénico ,紙くず; ティッシュ,tisu toliet/sampah/tissue,휴지,NOUN
waste basket/trash can,tacho/cesto,ごみ箱,tempat sampah,휴지통,NOUN
to flow/to run,fluir/caer/correr,流れる,mengalir,흐르다,VERB
white (color),blanco,白,putih (warna),흰색,NOUN
power/energy,fuerza/energía,力,tenaga/energi,힘,NOUN
to be hard/to be tough,duro/difícil,大変だ,sulit/susah,힘들다,VERB
